Neighborhood,TotalCrime
Westwood,1255
Venice,4591
Westchester,4622
Financial District,3200
South Park,3227
Palms,1759
Sawtelle,2719
Playa Vista,2256
Brentwood,1670
West Los Angeles,2235
Hollywood,5335
North Hollywood,2769
Encino,1857
Downtown,14342
Mid-Wilshire,2774
Playa Del Rey,1828
Pico-Robertson,2240
Woodland Hills,2373
Valley Village,2268
Hollywood Hills,3019
Silver Lake,2565
Mar Vista,1298
Studio City,2685
Los Feliz,2221
Echo Park,2652
Chinatown,2849
Chatsworth,1777
Canoga Park,3083
Granada Hills,1745
Northridge,2237
Sylmar,1486
Winnetka,1703
Westlake,2836
Mid City,2660
Eagle Rock,1554
Glassell Park,1773
Van Nuys,2775
Tarzana,2308
Reseda,1754
Atwater Village,2320
Highland Park,1615
El Sereno,1428
Crenshaw,4526
Hyde Park,3533
South Los Angeles, 4520
Central City, 5100
Lakeview Terrace,1259
Boyle Heights,2850
North Hills,1955
Montecito Heights,1490
Beverly Crest,1296
Beverlywood,1353

